2026-03-12 02:30:26 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2020&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:30:26 | ERROR   | ingestion.understat_scraper | [understat] API errors: {'plan': 'Free plans do not have access to this season, try from 2022 to 2024.'}
2026-03-12 02:30:26 | INFO    | __main__ | --- Processing season 2021 ---
2026-03-12 02:30:26 | INFO    | ingestion.base_scraper | [fbref] Starting pipeline for season 2021
2026-03-12 02:30:33 | INFO    | ingestion.base_scraper | Fetching: https://fbref.com/en/comps/9/2021-2022/schedule/2021-2022-Premier-League-Scores-and-Fixtures
2026-03-12 02:30:33 | ERROR   | __main__ | [fbref] Failed for season 2021: 403 Client Error: Forbidden for url: https://fbref.com/en/comps/9/2021-2022/schedule/2021-2022-Premier-League-Scores-and-Fixtures
2026-03-12 02:30:33 | INFO    | ingestion.base_scraper | [understat] Starting pipeline for season 2021
2026-03-12 02:30:33 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2021&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:30:33 | ERROR   | ingestion.understat_scraper | [understat] API errors: {'plan': 'Free plans do not have access to this season, try from 2022 to 2024.'}
2026-03-12 02:30:33 | INFO    | ingestion.base_scraper | Saved raw data: C:\Users\couga\OneDrive\Documents\My Projects\PL-Predictor\data\raw\understat_season_2021.csv (0 rows)
2026-03-12 02:30:33 | INFO    | __main__ | [understat] Season 2021: 0 matches
2026-03-12 02:30:34 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2021&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:30:34 | ERROR   | ingestion.understat_scraper | [understat] API errors: {'plan': 'Free plans do not have access to this season, try from 2022 to 2024.'}
2026-03-12 02:30:34 | INFO    | __main__ | --- Processing season 2022 ---
2026-03-12 02:30:34 | INFO    | ingestion.base_scraper | [fbref] Starting pipeline for season 2022
2026-03-12 02:30:38 | INFO    | ingestion.base_scraper | Fetching: https://fbref.com/en/comps/9/2022-2023/schedule/2022-2023-Premier-League-Scores-and-Fixtures
2026-03-12 02:30:39 | ERROR   | __main__ | [fbref] Failed for season 2022: 403 Client Error: Forbidden for url: https://fbref.com/en/comps/9/2022-2023/schedule/2022-2023-Premier-League-Scores-and-Fixtures
2026-03-12 02:30:39 | INFO    | ingestion.base_scraper | [understat] Starting pipeline for season 2022
2026-03-12 02:30:40 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2022&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:30:41 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867946 "HTTP/1.1 200 OK"
2026-03-12 02:30:41 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867947 "HTTP/1.1 200 OK"
2026-03-12 02:30:42 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867951 "HTTP/1.1 200 OK"
2026-03-12 02:30:43 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867948 "HTTP/1.1 200 OK"
2026-03-12 02:30:44 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867952 "HTTP/1.1 200 OK"
2026-03-12 02:30:45 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867949 "HTTP/1.1 200 OK"
2026-03-12 02:30:46 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867953 "HTTP/1.1 200 OK"
2026-03-12 02:30:46 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867954 "HTTP/1.1 200 OK"
2026-03-12 02:30:47 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867950 "HTTP/1.1 200 OK"
2026-03-12 02:30:48 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867955 "HTTP/1.1 200 OK"
2026-03-12 02:30:49 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867957 "HTTP/1.1 200 OK"
2026-03-12 02:30:50 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867965 "HTTP/1.1 200 OK"
2026-03-12 02:30:51 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867964 "HTTP/1.1 200 OK"
2026-03-12 02:30:52 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867956 "HTTP/1.1 200 OK"
2026-03-12 02:30:53 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867962 "HTTP/1.1 200 OK"
2026-03-12 02:30:54 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867959 "HTTP/1.1 200 OK"
2026-03-12 02:30:55 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867958 "HTTP/1.1 200 OK"
2026-03-12 02:30:55 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867963 "HTTP/1.1 200 OK"
2026-03-12 02:30:56 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867960 "HTTP/1.1 200 OK"
2026-03-12 02:30:57 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867961 "HTTP/1.1 200 OK"
2026-03-12 02:30:58 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867974 "HTTP/1.1 200 OK"
2026-03-12 02:30:59 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867969 "HTTP/1.1 200 OK"
2026-03-12 02:31:00 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867968 "HTTP/1.1 200 OK"
2026-03-12 02:31:01 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867971 "HTTP/1.1 200 OK"
2026-03-12 02:31:02 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867967 "HTTP/1.1 200 OK"
2026-03-12 02:31:03 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867966 "HTTP/1.1 200 OK"
2026-03-12 02:31:04 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867975 "HTTP/1.1 200 OK"
2026-03-12 02:31:05 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867970 "HTTP/1.1 200 OK"
2026-03-12 02:31:06 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867973 "HTTP/1.1 200 OK"
2026-03-12 02:31:07 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867972 "HTTP/1.1 200 OK"
2026-03-12 02:31:08 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867984 "HTTP/1.1 200 OK"
2026-03-12 02:31:09 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867981 "HTTP/1.1 200 OK"
2026-03-12 02:31:09 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867980 "HTTP/1.1 200 OK"
2026-03-12 02:31:11 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867982 "HTTP/1.1 200 OK"
2026-03-12 02:31:12 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867979 "HTTP/1.1 200 OK"
2026-03-12 02:31:12 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867978 "HTTP/1.1 200 OK"
2026-03-12 02:31:13 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867976 "HTTP/1.1 200 OK"
